qid1,qid2,label
S107641,S103854,0
S103127,S110857,1
S120534,S135254,1
S102044,S106012,0
S134333,S109235,0
S122428,S100458,1
S132207,S101736,1
S128121,S112201,1
S127610,S111401,0
S119286,S115849,1
S101529,S123685,1
S101149,S107405,1
S132783,S115280,0
S129727,S106220,0
S135119,S131328,0
S111502,S113301,1
S131452,S110897,0
S118139,S119451,1
S131748,S116909,0
S102986,S108686,1
S126194,S123783,0
S101883,S100679,1
S124861,S126539,0
S110057,S102567,0
S133809,S133985,0
S107872,S108214,1
S133331,S108523,0
S131910,S116959,0
S129396,S127474,0
S104805,S117947,1
S119890,S130426,0
S109849,S114716,0
S129147,S112486,0
S116478,S130447,1
S128930,S128148,0
S123957,S126165,0
S110020,S133415,0
S108926,S124785,0
S126422,S106725,0
S118621,S101606,1
S112674,S103402,1
S115587,S106777,0
S103389,S125937,0
S118533,S101614,1
S120332,S106236,0
S112188,S114906,1
S103495,S108498,1
S104004,S104120,0
S131675,S117074,1
S115736,S127740,0
S111721,S103833,1
S111602,S110356,0
S134892,S109954,0
S113113,S117635,0
S111378,S101483,0
S120094,S126362,0
S130701,S133642,0
S134082,S106341,1
S108768,S109536,1
S104520,S105311,0
S128086,S106073,0
S126549,S111189,1
S120087,S100841,1
S120474,S128177,0
S111952,S113047,0
S126611,S115597,0
S114425,S131924,1
S129942,S118131,1
S121708,S112661,0
S108588,S119760,1
S118138,S115098,0
S129134,S105422,1
S120032,S123978,1
S115693,S111684,1
S114757,S117043,0
S132374,S127470,0
S134844,S124895,1
S112360,S120365,0
S111054,S116385,1
S108499,S123274,1
S130774,S113709,1
S129468,S120830,1
S130514,S123543,1
S118765,S120510,1
S122824,S129823,1
S133715,S122924,0
S132631,S116601,0
S110448,S114932,0
S102883,S112222,0
S110091,S130771,0
S129897,S112287,1
S101714,S108241,0
S123672,S111505,1
S113265,S112280,1
S129209,S130186,0
S133058,S134809,1
S112948,S102338,0
S110943,S107064,1
S114755,S128585,1
S118736,S113378,0
S120298,S123312,0
S128780,S113783,1
S123972,S119152,1
S128558,S107344,0
S131977,S116209,0
S105352,S131713,0
S120118,S119718,1
S126979,S128133,1
S104729,S130944,0
S110536,S122296,1
S121174,S105717,0
S101171,S117971,1
S109496,S133888,0
S134315,S103444,0
S122933,S133058,0
S127682,S123503,0
